Timestamp,Main Cooling,Chiller-O,Main Electricity,Control-Smoke,Pump-Sewage,Control-Server,Lift 9,Control-LG,MCCP1,Pump-Rain,Lift 10,Control-Cooler,Lift 8,MCCP3,Chiller,GF-a,1F-a,2F-a,3F-a,4F-a,5F-a,6F-a,PV,LG-a,GF-c,1F-c,2F-c,2F-b,3F-b,3F-c,4F-b,5F-b,6F-b,Main Heating,T_out
2023-01-01 00:00:00,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.297,3.602,3.203,2.602,2.195,3.203,1.0,,0.703,0.202,3.5,1.203,0.898,0.1,1.102,1.398,0.5,2.898,40.0,2.47
2023-01-01 01:00:00,0.0,0.0,38.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.297,3.5,2.695,2.5,2.204,3.094,1.0,,0.602,0.299,3.501,1.196,1.0,0.0,1.102,1.196,0.601,2.8,40.0,2.28
2023-01-01 02:00:00,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203,3.5,2.703,2.602,2.297,3.203,0.797,,0.695,0.202,3.391,1.305,1.0,0.202,1.102,1.5,0.594,2.398,30.0,2.08
2023-01-01 03:00:00,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.297,3.5,2.703,2.602,2.204,3.109,1.0,,0.602,0.2,3.297,1.196,1.0,0.0,1.094,1.406,0.703,2.5,40.0,2.03
2023-01-01 04:00:00,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.203,3.5,2.796,2.5,2.195,3.188,0.703,,0.703,0.301,3.406,1.204,0.902,0.2,1.0,1.398,0.5,2.102,40.0,2.05
2023-01-01 05:00:00,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203,3.898,2.797,2.602,2.305,3.0,0.703,,0.602,0.2,3.5,1.297,0.898,0.0,1.102,1.297,0.602,2.2,30.0,1.98
2023-01-01 06:00:00,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297,3.398,2.804,2.695,2.196,3.203,0.695,,0.695,0.301,3.407,1.204,1.102,0.1,1.102,1.398,0.601,2.0,30.0,1.76
2023-01-01 07:00:00,0.0,0.0,37.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297,3.398,2.601,2.5,2.203,3.109,0.805,,0.602,0.2,3.297,1.196,0.898,0.202,1.102,1.406,0.594,1.5,30.0,1.7
2023-01-01 08:00:00,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.406,3.203,2.695,2.703,2.297,3.391,0.796,,0.703,0.5,3.5,1.204,0.898,0.0,1.102,1.398,0.703,2.199,30.0,1.98
2023-01-01 09:00:00,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.297,2.898,2.805,2.602,2.204,3.406,0.797,,0.594,0.5,3.094,0.703,1.0,0.1,1.0,1.297,0.601,1.902,30.0,2.37
