parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
_alpha,lower,5.4,14.316626524335893,0.0,14.316626524335893,-0.043678316595391564,0.0,-0.043678316595391564
_alpha,upper,6.6,14.395818421089547,0.0,14.395818421089547,0.03551358015826267,0.0,0.03551358015826267
_beta,lower,0.315,14.524241278064897,0.0,14.524241278064897,0.1639364371336125,0.0,0.1639364371336125
_beta,upper,0.385,14.196395037402006,0.0,14.196395037402006,-0.16390980352927897,0.0,-0.16390980352927897
u_walls,lower,0.171,14.198006186179313,0.0,14.198006186179313,-0.16229865475197158,0.0,-0.16229865475197158
u_walls,upper,0.209,14.52220650009939,0.0,14.52220650009939,0.16190165916810528,0.0,0.16190165916810528
u_windows,lower,1.269,14.005747364055805,0.0,14.005747364055805,-0.35455747687547934,0.0,-0.35455747687547934
u_windows,upper,1.551,14.713565026887697,0.0,14.713565026887697,0.35326018595641173,0.0,0.35326018595641173
thermal_capacitance_per_floor_area,lower,100000.0,13.737763020255946,0.0,13.737763020255946,-0.6225418206753393,0.0,-0.6225418206753393
thermal_capacitance_per_floor_area,upper,200000.0,14.541347439700345,0.0,14.541347439700345,0.1810425987690607,0.0,0.1810425987690607
infl_rate_m3ph_m2,lower,3.6,13.201625957799441,0.0,13.201625957799441,-1.1586788831318433,0.0,-1.1586788831318433
infl_rate_m3ph_m2,upper,4.4,15.512650335390871,0.0,15.512650335390871,1.1523454944595866,0.0,1.1523454944595866
gain_per_person,lower,90.0,14.85778534008204,0.0,14.85778534008204,0.49748049915075576,0.0,0.49748049915075576
gain_per_person,upper,110.0,13.86365913908323,0.0,13.86365913908323,-0.49664570184805434,0.0,-0.49664570184805434
appliance_gains,lower,15.2,14.79621347431257,0.0,14.79621347431257,0.4359086333812847,0.0,0.4359086333812847
appliance_gains,upper,16.8,13.925056140595565,0.0,13.925056140595565,-0.4352487003357197,0.0,-0.4352487003357197
max_occupancy,lower,778.5,14.675773575212084,0.0,14.675773575212084,0.3154687342807989,0.0,0.3154687342807989
max_occupancy,upper,951.5,14.045673039756513,0.0,14.045673039756513,-0.3146318011747713,0.0,-0.3146318011747713
fresh_air_lps,lower,10.8,14.17829069225509,0.0,14.17829069225509,-0.18201414867619548,0.0,-0.18201414867619548
fresh_air_lps,upper,13.2,14.542318746729148,0.0,14.542318746729148,0.18201390579786292,0.0,0.18201390579786292
atrium_ach,lower,1.8,13.717710462654022,0.0,13.717710462654022,-0.6425943782772627,0.0,-0.6425943782772627
atrium_ach,upper,2.2,15.000894013648837,0.0,15.000894013648837,0.6405891727175526,0.0,0.6405891727175526
window_opening_ach,lower,0.025,12.243653876681998,0.0,12.243653876681998,-2.1166509642492866,0.0,-2.1166509642492866
window_opening_ach,upper,0.225,16.460570257333448,0.0,16.460570257333448,2.100265416402163,0.0,2.100265416402163
unoccupied_ach_fraction,lower,0.0,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
unoccupied_ach_fraction,upper,0.0,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.09,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.11,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
t_set_heating,lower,18.9,11.404663261387377,0.0,11.404663261387377,-2.955641579543908,0.0,-2.955641579543908
t_set_heating,upper,23.1,17.398278249206776,0.0,17.398278249206776,3.037973408275491,0.0,3.037973408275491
t_weekend_heating,lower,16.2,13.86066677544819,0.0,13.86066677544819,-0.4996380654830954,0.0,-0.4996380654830954
t_weekend_heating,upper,19.8,14.998789195341882,0.0,14.998789195341882,0.6384843544105969,0.0,0.6384843544105969
t_setback_heating,lower,13.5,14.194666122968503,0.0,14.194666122968503,-0.16563871796278207,0.0,-0.16563871796278207
t_setback_heating,upper,16.5,14.808967982790453,0.0,14.808967982790453,0.4486631418591678,0.0,0.4486631418591678
t_set_cooling,lower,25.2,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
t_set_cooling,upper,30.8,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
lighting_load,lower,0.0,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
lighting_load,upper,0.0,14.360304840931285,0.0,14.360304840931285,0.0,0.0,0.0
ventilation_efficiency,lower,0.675,14.90634582985691,0.0,14.90634582985691,0.5460409889256255,0.0,0.5460409889256255
ventilation_efficiency,upper,0.825,13.814261666099865,0.0,13.814261666099865,-0.5460431748314196,0.0,-0.5460431748314196
