experiment_id,engine,scenario,sample_id,period_start,period_end,freq,n_points,cvrmse,nmbe
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,0,2023-02-01 00:00,2023-03-10 23:00,daily,38,46.521103439345815,-14.733492417941221
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,1,2023-02-01 00:00,2023-03-10 23:00,daily,38,45.9648220738398,-12.889194721871288
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,2,2023-02-01 00:00,2023-03-10 23:00,daily,38,46.38579109969571,-13.740401218337448
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,3,2023-02-01 00:00,2023-03-10 23:00,daily,38,47.393823327921694,-16.619465619509295
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,4,2023-02-01 00:00,2023-03-10 23:00,daily,38,46.972424145412255,-15.764554512347829
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,5,2023-02-01 00:00,2023-03-10 23:00,daily,38,46.959973839986375,-15.836265785477154
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,6,2023-02-01 00:00,2023-03-10 23:00,daily,38,47.88141750993123,-18.286590531856888
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,7,2023-02-01 00:00,2023-03-10 23:00,daily,38,47.503999880265255,-17.328445180520134
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,8,2023-02-01 00:00,2023-03-10 23:00,daily,38,46.101497905539354,-13.527025745661813
JUN11__ETHlib_3R2C_default_occ,ETHlib_3R2C,Baseline,9,2023-02-01 00:00,2023-03-10 23:00,daily,38,47.30528023018853,-16.995128728282808
