experiment_id,engine,scenario,sample_id,period_start,period_end,freq,n_points,cvrmse,nmbe
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,0,2023-01-20 00:00,2023-03-17 23:00,daily,57,42.17122501546593,-10.059283931289242
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,1,2023-01-20 00:00,2023-03-17 23:00,daily,57,42.41541691071674,-9.52227842780529
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,2,2023-01-20 00:00,2023-03-17 23:00,daily,57,43.70506756751781,-14.424745544226669
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,3,2023-01-20 00:00,2023-03-17 23:00,daily,57,40.75680342267704,0.35613405287904165
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,4,2023-01-20 00:00,2023-03-17 23:00,daily,57,47.20796503613911,-21.795444492316655
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,5,2023-01-20 00:00,2023-03-17 23:00,daily,57,42.96707712832349,-12.178951955458086
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,6,2023-01-20 00:00,2023-03-17 23:00,daily,57,47.76257110733158,-23.427563956402743
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,7,2023-01-20 00:00,2023-03-17 23:00,daily,57,47.04981503393773,-22.202874843055127
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,8,2023-01-20 00:00,2023-03-17 23:00,daily,57,42.24472773703771,-9.672861800201497
JUN11__ETHlib_ONSITE_occ,ETHlib,Baseline,9,2023-01-20 00:00,2023-03-17 23:00,daily,57,49.079616768963454,-25.656108384398497
