experiment_id,engine,scenario,sample_id,period_start,period_end,freq,n_points,cvrmse,nmbe
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,0,2023-01-20 00:00,2023-03-17 23:00,daily,57,29.082266413447776,10.580476595490945
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,1,2023-01-20 00:00,2023-03-17 23:00,daily,57,30.923069148802607,-11.100220808231958
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,2,2023-01-20 00:00,2023-03-17 23:00,daily,57,30.040815629568186,-9.513491663140075
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,3,2023-01-20 00:00,2023-03-17 23:00,daily,57,27.931426689036755,2.7962240924925172
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,4,2023-01-20 00:00,2023-03-17 23:00,daily,57,32.53966350299311,-14.610833002094692
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,5,2023-01-20 00:00,2023-03-17 23:00,daily,57,29.922029349045776,-9.209821043340991
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,6,2023-01-20 00:00,2023-03-17 23:00,daily,57,30.002991719898457,13.340776812427887
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,7,2023-01-20 00:00,2023-03-17 23:00,daily,57,28.235675112033803,-2.9400399773679116
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,8,2023-01-20 00:00,2023-03-17 23:00,daily,57,33.210793312061256,-16.110692311525636
JUN11__ETHlib_bldg_LoD_Y,ETHlib,Baseline,9,2023-01-20 00:00,2023-03-17 23:00,daily,57,27.779720881731194,3.5375276037614154
