parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
_alpha,lower,0.8,21.867205626892346,0.4105076495601873,22.277713276452534,0.19237185609384255,-0.03715865270660773,0.155213203387234
_alpha,upper,1.2,21.577805007685548,0.4762194514479856,22.054024459133533,-0.09702876311295583,0.028553149181190562,-0.06847561393176704
_beta,lower,0.04,22.00466847420529,0.40050340604791806,22.405171880253206,0.3298347034067852,-0.04716289621887698,0.2826718071879064
_beta,upper,0.06,21.347006941004686,0.49825271218560563,21.845259653190293,-0.3278268297938176,0.05058640991881058,-0.2772404198750067
u_walls,lower,0.152,20.375676587420408,0.542288815195815,20.917965402616222,-1.299157183378096,0.09462251292901991,-1.2045346704490782
u_walls,upper,0.228,22.969416356816552,0.36857249071718545,23.337988847533737,1.2945825860180484,-0.0790938115496096,1.2154887744684366
u_windows,lower,1.128,18.8532545025802,0.6768703104628704,19.53012481304307,-2.8215792682183043,0.22920400819607534,-2.59237526002223
u_windows,upper,1.692,24.491335360316334,0.29439224282926746,24.785727603145602,2.8165015895178307,-0.1532740594375276,2.6632275300803023
thermal_capacitance_per_floor_area,lower,132000.0,21.662658769857213,0.5123955580226214,22.175054327879835,-0.012175000941290648,0.06472925575582633,0.05255425481453457
thermal_capacitance_per_floor_area,upper,198000.0,21.679177746656425,0.39968878650383066,22.078866533160255,0.004343975857921123,-0.047977515762964384,-0.04363353990504493
infl_rate_m3ph_m2,lower,3.2,12.80687347407238,1.4909862063377004,14.297859680410081,-8.867960296726123,1.0433199040709054,-7.824640392655219
infl_rate_m3ph_m2,upper,4.8,31.246863622674027,0.13474644891069018,31.381610071584717,9.572029851875524,-0.31291985335610484,9.259109998519417
gain_per_person,lower,80.0,23.012956787985548,0.3250521702054754,23.338008958191022,1.3381230171870442,-0.12261413206131966,1.2155088851257219
gain_per_person,upper,120.0,20.35543709094432,0.6022948157901797,20.9577319067345,-1.319396679854183,0.1546285135233847,-1.1647681663307985
appliance_gains,lower,9.416,31.84002066959192,0.039764835353538586,31.879785504945456,10.165186898793415,-0.40790146691325646,9.757285431880156
appliance_gains,upper,14.124,12.992059942176304,2.1271961463329974,15.119256088509301,-8.6827738286222,1.6795298440662023,-7.003243984555999
max_occupancy,lower,692.0,21.359590233637864,0.38583295836503617,21.7454231920029,-0.31524353716064013,-0.061833343901758875,-0.37707688106240056
max_occupancy,upper,1038.0,21.994707458154213,0.5136113397612417,22.508318797915454,0.31987368735570954,0.06594503749444669,0.38581872485015367
fresh_air_lps,lower,9.6,20.035569163391113,0.5321089095568726,20.567678072947984,-1.6392646074073909,0.08444260729007758,-1.5548220001173156
fresh_air_lps,upper,14.4,23.327324442224622,0.38062083194998403,23.707945274174605,1.6524906714261185,-0.06704547031681102,1.5854452011093052
atrium_ach,lower,1.6,21.169218950054415,0.4715841135817238,21.640803063636138,-0.5056148207440891,0.02391781131492876,-0.48169700942916194
atrium_ach,upper,2.4,22.181082117522738,0.4256513373922189,22.606733454914956,0.5062483467242345,-0.02201496487457616,0.4842333818496556
unoccupied_ach_fraction,lower,0.4,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
unoccupied_ach_fraction,upper,0.6,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.08,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.12,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
t_set_heating,lower,16.8,11.161233831135808,0.4476662973131464,11.608900128448955,-10.513599939662695,-4.953648657934906e-09,-10.513599944616345
t_set_heating,upper,25.2,41.28758278255685,0.4725377039529321,41.760120486509784,19.61274901175835,0.02487140168613705,19.637620413444484
t_weekend_heating,lower,16.8,19.197595609928445,0.44766630222546927,19.645261912153913,-2.4772381608700584,-4.132577613447097e-11,-2.477238160911387
t_weekend_heating,upper,25.2,27.25379237197661,0.45292747237398334,27.70671984435059,5.578958601178105,0.0052611701071882955,5.584219771285291
t_setback_heating,lower,14.4,21.3507232584433,0.44766630226679505,21.798389560710095,-0.3241105123552046,0.0,-0.3241105123552046
t_setback_heating,upper,21.6,26.434489074508974,0.44766634436616615,26.88215541887514,4.7596553037104705,4.209937110033479e-08,4.75965534580984
t_set_cooling,lower,22.4,21.70758798436113,12.361507570401887,34.06909555476302,0.03275421356262598,11.913841268135092,11.946595481697717
t_set_cooling,upper,33.6,21.67483376832469,0.0,21.67483376832469,-2.4738149306813284e-09,-0.44766630226679505,-0.4476663047406113
lighting_load,lower,3.4,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
lighting_load,upper,5.1,21.674833770798504,0.44766630226679505,22.1225000730653,0.0,0.0,0.0
ventilation_efficiency,lower,0.6,28.236456912628224,0.24597420015433832,28.482431112782564,6.56162314182972,-0.20169210211245672,6.359931039717264
ventilation_efficiency,upper,0.9,15.36472770316555,0.941182777132324,16.30591048029787,-6.310106067632955,0.49351647486552896,-5.8165895927674285
